n:149 mse_avg:48.73 mse_y:72.63 mse_u:18.55 mse_v:31.09 psnr_avg:43.32 psnr_y:41.59 psnr_u:47.51 psnr_v:45.27 
n:150 mse_avg:48.55 mse_y:71.99 mse_u:18.35 mse_v:31.88 psnr_avg:43.34 psnr_y:41.62 psnr_u:47.56 psnr_v:45.16 
n:151 mse_avg:50.35 mse_y:74.52 mse_u:19.45 mse_v:32.92 psnr_avg:43.18 psnr_y:41.47 psnr_u:47.31 psnr_v:45.02 
n:152 mse_avg:46.20 mse_y:68.10 mse_u:18.03 mse_v:30.58 psnr_avg:43.55 psnr_y:41.87 psnr_u:47.64 psnr_v:45.34 
n:153 mse_avg:48.92 mse_y:72.82 mse_u:18.50 mse_v:31.54 psnr_avg:43.30 psnr_y:41.58 psnr_u:47.53 psnr_v:45.21 
n:154 mse_avg:48.70 mse_y:71.95 mse_u:18.43 mse_v:32.49 psnr_avg:43.32 psnr_y:41.63 psnr_u:47.54 psnr_v:45.08 
n:155 mse_avg:49.71 mse_y:72.70 mse_u:19.48 mse_v:33.94 psnr_avg:43.23 psnr_y:41.58 psnr_u:47.30 psnr_v:44.89 
n:156 mse_avg:44.79 mse_y:65.06 mse_u:17.95 mse_v:31.08 psnr_avg:43.69 psnr_y:42.06 psnr_u:47.66 psnr_v:45.27 
n:157 mse_avg:45.78 mse_y:66.82 mse_u:18.19 mse_v:31.31 psnr_avg:43.59 psnr_y:41.95 psnr_u:47.60 psnr_v:45.24 
n:158 mse_avg:46.10 mse_y:66.90 mse_u:18.28 mse_v:32.30 psnr_avg:43.56 psnr_y:41.94 psnr_u:47.58 psnr_v:45.11 
n:159 mse_avg:48.43 mse_y:70.11 mse_u:19.31 mse_v:34.17 psnr_avg:43.35 psnr_y:41.74 psnr_u:47.34 psnr_v:44.86 
n:160 mse_avg:45.25 mse_y:65.75 mse_u:17.91 mse_v:31.60 psnr_avg:43.64 psnr_y:42.02 psnr_u:47.67 psnr_v:45.20 
n:161 mse_avg:45.71 mse_y:66.22 mse_u:18.28 mse_v:32.09 psnr_avg:43.60 psnr_y:41.99 psnr_u:47.58 psnr_v:45.13 
n:162 mse_avg:45.37 mse_y:65.53 mse_u:18.12 mse_v:32.31 psnr_avg:43.63 psnr_y:42.03 psnr_u:47.62 psnr_v:45.10 
n:163 mse_avg:47.72 mse_y:69.04 mse_u:19.06 mse_v:33.74 psnr_avg:43.41 psnr_y:41.81 psnr_u:47.40 psnr_v:44.92 
n:164 mse_avg:44.33 mse_y:64.21 mse_u:17.56 mse_v:31.33 psnr_avg:43.73 psnr_y:42.12 psnr_u:47.75 psnr_v:45.24 
n:165 mse_avg:45.36 mse_y:65.90 mse_u:17.95 mse_v:31.69 psnr_avg:43.63 psnr_y:42.01 psnr_u:47.66 psnr_v:45.19 
n:166 mse_avg:45.65 mse_y:66.08 mse_u:18.14 mse_v:32.29 psnr_avg:43.60 psnr_y:42.00 psnr_u:47.61 psnr_v:45.11 
n:167 mse_avg:47.32 mse_y:68.45 mse_u:18.88 mse_v:33.50 psnr_avg:43.45 psnr_y:41.84 psnr_u:47.44 psnr_v:44.95 
n:168 mse_avg:44.11 mse_y:63.89 mse_u:17.50 mse_v:31.15 psnr_avg:43.75 psnr_y:42.14 psnr_u:47.77 psnr_v:45.26 
